invoice_id,vendor,category,amount_czk,issued_on,due_on,po_number,cost_center,approver,is_anomaly,anomaly_type
INV-000018,Deloitte Advisory s.r.o.,consulting,72316.95,2025-01-08,2025-02-02,PO-16359,CC-138,tklimes,0,
INV-000019,Red Hat Czech s.r.o.,software,69551.47,2025-11-04,2025-12-07,PO-73825,CC-228,jnovak,0,
INV-000020,ČSA a.s.,travel,17629.85,2025-01-03,2025-01-23,PO-97546,CC-280,kvarga,0,
INV-000021,Engie Services a.s.,facility,15693.28,2025-06-25,2025-07-23,PO-97701,CC-355,kvarga,0,
INV-000022,Havel & Partners,legal,38004.32,2025-03-12,2025-03-31,PO-89972,CC-117,ldvorak,0,
INV-000023,Google Cloud EMEA,cloud,50781.53,2025-01-08,2025-02-13,PO-39335,CC-333,jnovak,0,
INV-000024,Red Hat Czech s.r.o.,software,101986.77,2025-05-27,2025-07-01,PO-98236,CC-104,ldvorak,0,
INV-000025,Manpower Group s.r.o.,hr_services,126795.15,2025-05-02,2025-05-26,PO-33446,CC-132,ldvorak,0,
INV-000026,PPL CZ s.r.o.,logistics,11381.21,2025-11-28,2025-12-29,PO-89747,CC-181,tklimes,0,
INV-000027,Office Depot s.r.o.,office_supply,3755.78,2025-10-14,2025-11-09,PO-81874,CC-155,msrnec,0,
INV-000028,ČSA a.s.,travel,7377.66,2025-07-22,2025-08-08,PO-71059,CC-324,ldvorak,0,
INV-000029,DHL Express,logistics,16712.09,2025-04-03,2025-05-15,PO-69762,CC-293,msrnec,0,
INV-000030,T-Mobile Czech Republic,telecom,8521.01,2025-01-09,2025-02-19,PO-25299,CC-147,jnovak,0,
INV-000031,Google Cloud EMEA,cloud,28027.49,2025-01-27,2025-03-08,PO-32058,CC-328,msrnec,0,
INV-000032,Grafton Recruitment,hr_services,94111.75,2025-08-11,2025-08-26,PO-54718,CC-230,jnovak,0,
INV-000033,JetBrains s.r.o.,software,11340.03,2025-12-18,2026-01-19,PO-32402,CC-130,ldvorak,0,
INV-000034,AWS EMEA SARL,cloud,49071.97,2025-04-10,2025-05-02,PO-36870,CC-295,jnovak,0,
INV-000035,ČSA a.s.,travel,23434.33,2025-03-27,2025-04-12,PO-28392,CC-326,ldvorak,0,
INV-000036,PPL CZ s.r.o.,logistics,17985.95,2025-02-11,2025-03-11,PO-66505,CC-182,tklimes,0,
INV-000037,ČSA a.s.,travel,24134.37,2025-12-16,2026-01-03,PO-50571,CC-392,tklimes,0,
INV-000038,AWS EMEA SARL,cloud,250000.0,2025-07-02,2025-08-14,PO-51552,CC-323,kvarga,1,round_sum
INV-000039,Havel & Partners,legal,71248.64,2025-06-02,2025-06-25,PO-22315,CC-143,msrnec,0,
INV-000040,T-Mobile Czech Republic,telecom,8330.25,2025-07-10,2025-08-07,,CC-177,jnovak,0,
INV-000041,KPMG Česká republika,consulting,66440.02,2025-03-13,2025-04-12,PO-13292,CC-149,ldvorak,0,
INV-000042,DHL Express,logistics,16253.64,2025-07-16,2025-08-08,PO-43060,CC-243,ldvorak,0,
INV-000043,DHL Express,logistics,24260.77,2025-01-02,2025-01-16,PO-83301,CC-174,ldvorak,0,
INV-000044,Engie Services a.s.,facility,24018.31,2025-10-20,2025-11-18,PO-46018,CC-161,kvarga,0,
INV-000045,AWS EMEA SARL,cloud,33435.15,2025-10-22,2025-11-20,PO-52410,CC-350,tklimes,0,
INV-000046,O2 Czech Republic,telecom,10469.76,2025-07-10,2025-08-01,PO-11945,CC-102,kvarga,0,
INV-000047,Makro Cash & Carry,catering,6657.23,2025-07-03,2025-08-07,PO-74118,CC-258,kvarga,0,
INV-000048,ČSA a.s.,travel,26106.78,2025-05-09,2025-06-21,PO-92212,CC-230,msrnec,0,
INV-000049,Alza.cz a.s.,office_supply,7720.48,2025-03-05,2025-04-12,PO-59558,CC-308,tklimes,0,
INV-000050,JetBrains s.r.o.,software,10415.2,2025-06-17,2025-07-06,PO-16434,CC-134,msrnec,0,
INV-000051,Office Depot s.r.o.,office_supply,2650.53,2025-03-26,2025-04-26,PO-80245,CC-314,tklimes,0,
INV-000052,O2 Czech Republic,telecom,14361.03,2025-12-18,2026-01-22,PO-73283,CC-208,jnovak,0,
INV-000053,O2 Czech Republic,telecom,100000.0,2025-11-20,2025-12-14,PO-32907,CC-351,jnovak,1,round_sum
INV-000054,ČEZ Distribuce a.s.,utilities,46804.65,2025-08-26,2025-09-09,PO-72226,CC-110,kvarga,0,
INV-000055,PwC Česká republika,consulting,106111.92,2025-01-02,2025-01-21,PO-46909,CC-390,jnovak,0,
INV-000056,Kinstellar s.r.o.,legal,41961.1,2025-07-28,2025-08-18,PO-40854,CC-102,kvarga,0,
INV-000057,DHL Express,logistics,17024.41,2025-06-06,2025-07-01,PO-29980,CC-290,msrnec,0,
INV-000058,Makro Cash & Carry,catering,9684.22,2025-11-19,2025-12-06,PO-31666,CC-152,ldvorak,0,
INV-000059,Booking.com,travel,11154.24,2025-12-23,2026-01-10,PO-33961,CC-292,ldvorak,0,
INV-000060,JetBrains s.r.o.,software,6225.02,2025-01-20,2025-02-10,PO-10046,CC-355,ldvorak,0,
INV-000061,ČEZ Distribuce a.s.,utilities,27426.92,2025-06-06,2025-06-28,PO-25040,CC-394,msrnec,0,
INV-000062,Google Cloud EMEA,cloud,26569.09,2025-07-28,2025-08-12,PO-14416,CC-355,ldvorak,0,
INV-000063,JetBrains s.r.o.,software,202748.23,2025-12-31,2026-01-22,,CC-117,kvarga,1,missing_po
INV-000064,Microsoft Ireland Operations,cloud,24097.15,2025-10-15,2025-11-02,PO-55653,CC-190,ldvorak,0,
INV-000065,PPL CZ s.r.o.,logistics,14556.56,2025-06-23,2025-07-25,PO-70713,CC-301,kvarga,0,
INV-000066,Office Depot s.r.o.,office_supply,3216.46,2025-06-20,2025-07-26,PO-80953,CC-236,tklimes,0,
INV-000067,Pražská plynárenská a.s.,utilities,22599.25,2025-09-19,2025-10-30,PO-66612,CC-223,tklimes,0,
INV-000068,Office Depot s.r.o.,office_supply,4783.96,2025-07-17,2025-08-23,PO-48278,CC-373,kvarga,0,
INV-000069,Lagardère Travel Retail,travel,5282.43,2025-09-05,2025-09-22,,CC-208,ldvorak,0,
INV-000070,ČSA a.s.,travel,19613.16,2025-12-29,2026-01-19,PO-56024,CC-360,ldvorak,0,
INV-000071,PwC Česká republika,consulting,78404.94,2025-08-25,2025-09-13,PO-21203,CC-395,ldvorak,0,
INV-000072,Microsoft Ireland Operations,cloud,29457.66,2025-12-23,2026-01-29,PO-83385,CC-158,ldvorak,0,
INV-000073,PwC Česká republika,consulting,42400.77,2025-04-07,2025-04-30,PO-11870,CC-280,kvarga,0,
INV-000074,Alza.cz a.s.,office_supply,3638.68,2025-10-07,2025-11-05,PO-43003,CC-325,ldvorak,0,
INV-000075,Microsoft Ireland Operations,cloud,58975.11,2025-10-13,2025-11-22,PO-15611,CC-282,msrnec,0,
INV-000076,Office Depot s.r.o.,office_supply,4076.67,2025-05-23,2025-06-21,,CC-323,msrnec,0,
INV-000077,Grafton Recruitment,hr_services,106683.65,2025-03-10,2025-04-01,PO-37161,CC-212,ldvorak,0,
INV-000078,JetBrains s.r.o.,software,9826.54,2025-10-29,2025-11-16,PO-19957,CC-267,tklimes,0,
INV-000079,JetBrains s.r.o.,software,2753.35,2025-11-10,2025-12-18,PO-44657,CC-174,tklimes,0,
INV-000080,O2 Czech Republic,telecom,14121.02,2025-10-06,2025-11-13,PO-34624,CC-204,tklimes,0,
INV-000081,Deloitte Advisory s.r.o.,consulting,75503.66,2025-03-27,2025-05-06,PO-59996,CC-323,kvarga,0,
INV-000082,Manpower Group s.r.o.,hr_services,89496.01,2025-01-15,2025-02-14,PO-37158,CC-216,kvarga,0,
INV-000083,Manpower Group s.r.o.,hr_services,72354.08,2025-02-13,2025-03-12,PO-82663,CC-334,msrnec,0,
INV-000084,ČEZ Distribuce a.s.,utilities,44253.61,2025-08-18,2025-09-13,PO-41327,CC-282,msrnec,0,
INV-000085,ČSA a.s.,travel,3254.17,2025-01-29,2025-03-07,PO-60883,CC-266,jnovak,0,
INV-000086,Red Hat Czech s.r.o.,software,105463.9,2025-11-05,2025-12-16,PO-57761,CC-190,jnovak,0,
INV-000087,Havel & Partners,legal,41952.45,2025-10-21,2025-11-16,PO-67499,CC-258,kvarga,0,
INV-000088,Alza.cz a.s.,office_supply,8887.33,2025-05-23,2025-06-30,PO-60639,CC-259,tklimes,0,
INV-000089,AWS EMEA SARL,cloud,35632.0,2025-04-25,2025-05-15,,CC-124,msrnec,0,
INV-000090,Alza.cz a.s.,office_supply,8989.81,2025-03-27,2025-05-02,PO-56690,CC-122,tklimes,0,
INV-000091,Makro Cash & Carry,catering,10855.93,2025-03-11,2025-04-08,PO-21692,CC-199,kvarga,0,
INV-000092,Havel & Partners,legal,61433.39,2025-08-14,2025-09-20,PO-90849,CC-109,msrnec,0,
INV-000093,Kinstellar s.r.o.,legal,52454.3,2025-10-10,2025-11-05,PO-42625,CC-351,kvarga,0,
INV-000094,Booking.com,travel,846.15,2025-07-09,2025-07-31,PO-36321,CC-381,jnovak,0,
INV-000095,KPMG Česká republika,consulting,47269.65,2025-09-05,2025-10-03,PO-29397,CC-301,ldvorak,0,
INV-000096,Makro Cash & Carry,catering,9070.51,2025-01-16,2025-02-27,PO-82730,CC-100,kvarga,0,
INV-000097,Deloitte Advisory s.r.o.,consulting,87083.61,2025-10-24,2025-12-05,PO-57249,CC-378,tklimes,0,
INV-000098,Lagardère Travel Retail,travel,13927.27,2025-03-11,2025-03-31,PO-19574,CC-255,jnovak,0,
INV-000099,Havel & Partners,legal,42150.24,2025-10-21,2025-11-05,PO-85022,CC-253,jnovak,0,
INV-000100,Deloitte Advisory s.r.o.,consulting,101356.59,2025-11-12,2025-12-12,PO-39170,CC-324,jnovak,0,
INV-000101,Red Hat Czech s.r.o.,software,101724.65,2025-12-03,2025-12-25,PO-16848,CC-112,jnovak,0,
INV-000102,Alza.cz a.s.,office_supply,1277.26,2025-10-20,2025-11-15,PO-59813,CC-375,jnovak,0,
INV-000103,Google Cloud EMEA,cloud,19245.81,2025-05-14,2025-06-20,PO-73851,CC-109,ldvorak,0,
INV-000104,Engie Services a.s.,facility,22995.86,2025-05-14,2025-06-12,PO-12130,CC-360,jnovak,0,
INV-000105,Makro Cash & Carry,catering,8070.5,2025-10-08,2025-10-23,PO-20447,CC-312,ldvorak,0,
INV-000106,Deloitte Advisory s.r.o.,consulting,104385.85,2025-10-20,2025-11-09,PO-88319,CC-318,jnovak,0,
INV-000107,AWS EMEA SARL,cloud,51692.49,2025-12-01,2025-12-26,PO-74832,CC-264,kvarga,0,
INV-000108,Deloitte Advisory s.r.o.,consulting,96611.65,2025-01-17,2025-02-13,PO-16970,CC-204,jnovak,0,
INV-000109,Deloitte Advisory s.r.o.,consulting,122240.37,2025-11-14,2025-12-14,PO-85212,CC-118,msrnec,0,
INV-000110,Engie Services a.s.,facility,30149.35,2025-05-27,2025-07-03,PO-37220,CC-381,msrnec,0,
INV-000111,PPL CZ s.r.o.,logistics,16048.35,2025-03-10,2025-04-03,PO-60646,CC-364,msrnec,0,
INV-000112,Lagardère Travel Retail,travel,14771.45,2025-09-25,2025-10-17,PO-74885,CC-380,kvarga,0,
INV-000113,Grafton Recruitment,hr_services,78087.84,2025-10-23,2025-11-12,PO-36001,CC-296,tklimes,0,
INV-000114,Google Cloud EMEA,cloud,54463.18,2025-11-28,2026-01-11,PO-76071,CC-343,kvarga,0,
INV-000115,JetBrains s.r.o.,software,8971.14,2025-05-16,2025-06-19,PO-14705,CC-167,tklimes,0,
INV-000116,Red Hat Czech s.r.o.,software,112569.55,2025-10-01,2025-10-25,PO-55923,CC-138,ldvorak,0,
INV-000117,Alza.cz a.s.,office_supply,3127.58,2025-07-02,2025-07-19,PO-65118,CC-294,kvarga,0,
INV-000118,Booking.com,travel,9309.58,2025-05-09,2025-06-03,PO-73678,CC-174,jnovak,0,
INV-000119,KPMG Česká republika,consulting,47629.94,2025-10-20,2025-11-14,PO-14406,CC-130,jnovak,0,
INV-000120,Manpower Group s.r.o.,hr_services,177485.77,2025-01-28,2025-03-05,PO-22895,CC-289,kvarga,0,
INV-000121,Microsoft Ireland Operations,cloud,27314.18,2025-07-16,2025-08-28,PO-90402,CC-171,kvarga,0,
INV-000122,Red Hat Czech s.r.o.,software,84877.29,2025-12-13,2026-01-20,PO-27585,CC-115,ldvorak,1,off_hours
INV-000123,Manpower Group s.r.o.,hr_services,77280.0,2025-10-03,2025-10-31,PO-77143,CC-215,ldvorak,0,
INV-000124,O2 Czech Republic,telecom,8936.67,2025-03-03,2025-03-29,PO-66736,CC-335,ldvorak,0,
INV-000125,AWS EMEA SARL,cloud,59140.06,2025-02-14,2025-03-07,PO-37028,CC-359,ldvorak,0,
INV-000126,Manpower Group s.r.o.,hr_services,101936.09,2025-01-20,2025-02-11,PO-70982,CC-356,tklimes,0,
INV-000127,Booking.com,travel,18026.97,2025-03-25,2025-04-25,PO-61098,CC-218,msrnec,0,
INV-000128,PPL CZ s.r.o.,logistics,12548.31,2025-10-03,2025-11-15,PO-55741,CC-344,ldvorak,0,
INV-000129,Grafton Recruitment,hr_services,71930.86,2025-10-30,2025-11-14,PO-28893,CC-144,ldvorak,0,
INV-000130,T-Mobile Czech Republic,telecom,9551.54,2025-04-28,2025-05-31,PO-80988,CC-230,tklimes,0,
INV-000131,Deloitte Advisory s.r.o.,consulting,70256.78,2025-09-18,2025-10-28,PO-89213,CC-385,jnovak,0,
INV-000132,T-Mobile Czech Republic,telecom,13184.3,2025-08-14,2025-09-17,PO-64925,CC-319,kvarga,0,
INV-000133,Engie Services a.s.,facility,13075.68,2025-07-28,2025-09-05,PO-34027,CC-263,msrnec,0,
INV-000134,Manpower Group s.r.o.,hr_services,79771.85,2025-05-29,2025-07-08,PO-87415,CC-320,jnovak,0,
INV-000135,Office Depot s.r.o.,office_supply,4285.24,2025-04-02,2025-04-28,PO-47103,CC-286,jnovak,0,
INV-000136,JetBrains s.r.o.,software,7191.26,2025-09-11,2025-10-03,PO-84647,CC-362,ldvorak,0,
INV-000137,JetBrains s.r.o.,software,7216.44,2025-02-21,2025-03-22,,CC-137,tklimes,0,
INV-000138,Grafton Recruitment,hr_services,121399.51,2025-09-22,2025-10-14,PO-78257,CC-144,ldvorak,0,
INV-000139,Havel & Partners,legal,61658.07,2025-02-20,2025-03-17,PO-27367,CC-392,ldvorak,0,
INV-000140,Microsoft Ireland Operations,cloud,38921.77,2025-05-06,2025-05-20,PO-17093,CC-356,tklimes,0,
INV-000141,Microsoft Ireland Operations,cloud,36895.78,2025-05-14,2025-06-19,PO-54789,CC-119,ldvorak,0,
INV-000142,Lagardère Travel Retail,travel,11838.49,2025-10-15,2025-11-07,PO-71716,CC-225,kvarga,0,
INV-000143,AWS EMEA SARL,cloud,42219.68,2025-02-25,2025-03-28,,CC-231,kvarga,0,
INV-000144,Makro Cash & Carry,catering,12932.25,2025-01-30,2025-03-12,PO-35748,CC-297,ldvorak,0,
INV-000145,Booking.com,travel,16385.77,2025-02-21,2025-04-04,,CC-114,tklimes,0,
INV-000146,Deloitte Advisory s.r.o.,consulting,125562.72,2025-08-27,2025-09-26,PO-53389,CC-322,ldvorak,0,
INV-000147,DHL Express,logistics,7498.76,2025-10-16,2025-11-27,PO-83968,CC-374,ldvorak,0,
INV-000148,Havel & Partners,legal,71036.37,2025-11-21,2025-12-17,PO-31642,CC-201,ldvorak,0,
INV-000149,Microsoft Ireland Operations,cloud,30696.2,2025-06-16,2025-07-11,PO-31587,CC-190,tklimes,0,
INV-000150,O2 Czech Republic,telecom,13625.34,2025-05-02,2025-06-03,PO-27956,CC-334,ldvorak,0,
INV-000151,O2 Czech Republic,telecom,12992.58,2025-07-08,2025-07-29,PO-57609,CC-227,ldvorak,0,
INV-000152,JetBrains s.r.o.,software,9381.75,2025-09-02,2025-09-27,PO-96351,CC-183,ldvorak,0,
INV-000153,Pražská plynárenská a.s.,utilities,11825.01,2025-11-27,2025-12-28,PO-41023,CC-277,ldvorak,0,
INV-000154,T-Mobile Czech Republic,telecom,8192.07,2025-09-24,2025-10-24,PO-13175,CC-233,ldvorak,0,
INV-000155,Grafton Recruitment,hr_services,58006.94,2025-08-27,2025-10-07,PO-29940,CC-285,jnovak,0,
INV-000156,Grafton Recruitment,hr_services,82041.46,2025-08-27,2025-09-21,PO-43247,CC-202,msrnec,0,
INV-000157,Kinstellar s.r.o.,legal,72804.29,2025-05-27,2025-06-26,PO-57869,CC-351,kvarga,0,
INV-000158,Makro Cash & Carry,catering,5878.09,2025-11-20,2025-12-30,PO-60557,CC-259,ldvorak,0,
INV-000159,Booking.com,travel,8746.66,2025-02-10,2025-02-26,PO-20741,CC-250,ldvorak,0,
INV-000160,Google Cloud EMEA,cloud,56170.37,2025-12-23,2026-01-14,PO-10516,CC-277,tklimes,0,
INV-000161,Engie Services a.s.,facility,28605.54,2025-10-21,2025-11-16,PO-52314,CC-138,jnovak,0,
INV-000162,ČSA a.s.,travel,26793.75,2025-12-29,2026-01-15,PO-57409,CC-316,kvarga,0,
INV-000163,Manpower Group s.r.o.,hr_services,85529.15,2025-05-13,2025-05-27,,CC-356,msrnec,0,
INV-000164,Office Depot s.r.o.,office_supply,4474.85,2025-01-02,2025-02-14,PO-12871,CC-136,tklimes,0,
INV-000165,Booking.com,travel,5499.23,2025-05-15,2025-06-20,PO-15574,CC-126,tklimes,0,
INV-000166,Office Depot s.r.o.,office_supply,5731.93,2025-12-15,2026-01-08,PO-54092,CC-341,tklimes,0,
INV-000167,Lagardère Travel Retail,travel,8308.74,2025-03-20,2025-04-19,PO-57815,CC-339,tklimes,0,
INV-000168,DHL Express,logistics,18646.2,2025-03-31,2025-05-01,PO-75646,CC-282,msrnec,0,
INV-000169,Kinstellar s.r.o.,legal,55511.91,2025-04-16,2025-05-24,PO-79677,CC-377,msrnec,0,
INV-000170,ČEZ Distribuce a.s.,utilities,39603.15,2025-10-01,2025-10-27,PO-99838,CC-115,jnovak,0,
INV-000171,Grafton Recruitment,hr_services,177897.11,2025-05-21,2025-06-23,PO-68976,CC-394,jnovak,0,
INV-000172,Engie Services a.s.,facility,28374.37,2025-07-31,2025-08-25,PO-45073,CC-343,kvarga,0,
INV-000173,Deloitte Advisory s.r.o.,consulting,91454.75,2025-01-10,2025-02-20,PO-27708,CC-100,jnovak,0,
INV-000174,Deloitte Advisory s.r.o.,consulting,64280.78,2025-12-04,2026-01-17,,CC-101,tklimes,0,
INV-000175,Microsoft Ireland Operations,cloud,43951.58,2025-05-09,2025-05-29,PO-11340,CC-273,kvarga,0,
INV-000176,Havel & Partners,legal,57621.92,2025-01-08,2025-02-19,,CC-379,msrnec,0,
INV-000177,Makro Cash & Carry,catering,10822.02,2025-05-02,2025-05-25,PO-29059,CC-156,msrnec,0,
INV-000178,Manpower Group s.r.o.,hr_services,140196.21,2025-09-22,2025-10-19,,CC-164,jnovak,0,
INV-000179,DHL Express,logistics,15304.3,2025-04-23,2025-05-09,PO-24003,CC-147,tklimes,0,
INV-000180,Red Hat Czech s.r.o.,software,94763.32,2025-01-09,2025-02-09,PO-75914,CC-210,kvarga,0,
INV-000181,Red Hat Czech s.r.o.,software,95356.77,2025-11-21,2026-01-04,PO-39414,CC-218,ldvorak,0,
INV-000182,Deloitte Advisory s.r.o.,consulting,81133.37,2025-07-23,2025-08-21,PO-80550,CC-222,msrnec,0,
INV-000183,DHL Express,logistics,14407.11,2025-09-16,2025-10-12,,CC-199,kvarga,0,
INV-000184,Kinstellar s.r.o.,legal,79894.75,2025-01-16,2025-02-13,PO-68948,CC-213,jnovak,0,
INV-000185,Red Hat Czech s.r.o.,software,96271.75,2025-10-29,2025-11-29,,CC-197,jnovak,0,
INV-000186,Pražská plynárenská a.s.,utilities,17659.62,2025-08-25,2025-09-17,PO-27830,CC-330,msrnec,0,
INV-000187,AWS EMEA SARL,cloud,19259.45,2025-08-28,2025-09-11,PO-85002,CC-166,ldvorak,0,
INV-000188,DHL Express,logistics,8205.78,2025-08-19,2025-09-08,,CC-199,jnovak,0,
INV-000189,Microsoft Ireland Operations,cloud,17552.72,2025-05-23,2025-07-05,PO-91168,CC-114,ldvorak,0,
INV-000190,AWS EMEA SARL,cloud,45077.51,2025-12-18,2026-01-23,PO-63065,CC-374,kvarga,0,
INV-000191,T-Mobile Czech Republic,telecom,11504.06,2025-09-08,2025-10-15,PO-65393,CC-252,kvarga,0,
INV-000192,Manpower Group s.r.o.,hr_services,104307.36,2025-02-21,2025-03-19,PO-62019,CC-235,tklimes,0,
INV-000193,Grafton Recruitment,hr_services,63129.62,2025-06-19,2025-07-31,PO-35110,CC-318,msrnec,0,
INV-000194,Deloitte Advisory s.r.o.,consulting,68821.37,2025-04-29,2025-06-09,PO-87923,CC-397,jnovak,0,
INV-000195,Deloitte Advisory s.r.o.,consulting,80692.41,2025-07-25,2025-08-27,PO-93582,CC-399,tklimes,0,
INV-000196,Makro Cash & Carry,catering,5081.48,2025-08-27,2025-10-07,PO-34926,CC-277,jnovak,0,
INV-000197,PwC Česká republika,consulting,432144.62,2025-08-22,2025-10-03,PO-36053,CC-398,kvarga,1,amount_outlier
INV-000198,ČEZ Distribuce a.s.,utilities,56705.39,2025-12-10,2025-12-31,PO-62427,CC-342,msrnec,0,
INV-000199,PwC Česká republika,consulting,70451.83,2025-01-21,2025-02-08,PO-71820,CC-396,ldvorak,0,
INV-000200,Makro Cash & Carry,catering,7670.47,2025-05-28,2025-07-09,PO-46127,CC-386,tklimes,0,
INV-000201,PPL CZ s.r.o.,logistics,11034.56,2025-04-04,2025-05-01,PO-41385,CC-102,msrnec,0,
INV-000202,Manpower Group s.r.o.,hr_services,105365.62,2025-08-20,2025-09-12,PO-50320,CC-319,jnovak,0,
INV-000203,AWS EMEA SARL,cloud,39262.93,2025-05-31,2025-06-16,PO-78470,CC-182,kvarga,1,off_hours
INV-000204,O2 Czech Republic,telecom,11754.82,2025-10-02,2025-10-18,PO-75108,CC-279,msrnec,0,
INV-000205,Kinstellar s.r.o.,legal,56652.32,2025-05-26,2025-07-04,PO-55775,CC-245,msrnec,0,
INV-000206,Alza.cz a.s.,office_supply,5973.04,2025-05-28,2025-06-30,PO-39243,CC-269,kvarga,0,
INV-000207,Engie Services a.s.,facility,27624.25,2025-01-14,2025-02-20,PO-93279,CC-126,jnovak,0,
INV-000208,Engie Services a.s.,facility,30413.72,2025-12-09,2025-12-26,PO-87895,CC-156,jnovak,0,
INV-000209,PwC Česká republika,consulting,114958.31,2025-04-25,2025-05-15,PO-31489,CC-306,ldvorak,0,
INV-000210,O2 Czech Republic,telecom,13289.14,2025-04-07,2025-05-21,PO-34096,CC-158,kvarga,0,
INV-000211,Deloitte Advisory s.r.o.,consulting,70031.8,2025-09-25,2025-10-13,PO-21553,CC-351,jnovak,0,
INV-000212,Makro Cash & Carry,catering,13703.47,2025-12-17,2026-01-08,PO-74767,CC-189,kvarga,0,
INV-000213,KPMG Česká republika,consulting,88111.22,2025-07-09,2025-08-02,PO-22404,CC-258,msrnec,0,
INV-000214,Havel & Partners,legal,41171.76,2025-07-22,2025-08-22,PO-18117,CC-354,tklimes,0,
INV-000215,Engie Services a.s.,facility,29677.09,2025-04-29,2025-06-08,,CC-296,msrnec,0,
INV-000216,Lagardère Travel Retail,travel,13509.86,2025-10-24,2025-11-26,PO-80328,CC-388,tklimes,0,
INV-000217,Havel & Partners,legal,70176.77,2025-10-16,2025-11-01,PO-15438,CC-284,msrnec,0,
INV-000218,DHL Express,logistics,11718.11,2025-07-01,2025-08-04,PO-77352,CC-399,jnovak,0,
INV-000219,O2 Czech Republic,telecom,17101.23,2025-09-01,2025-09-16,PO-20257,CC-353,jnovak,0,
INV-000220,Manpower Group s.r.o.,hr_services,61183.58,2025-08-08,2025-09-12,PO-10318,CC-319,kvarga,0,
INV-000221,JetBrains s.r.o.,software,10533.57,2025-11-04,2025-11-30,PO-36980,CC-379,ldvorak,0,
INV-000222,Office Depot s.r.o.,office_supply,2270.41,2025-07-04,2025-08-02,PO-51373,CC-279,jnovak,0,
INV-000223,Lagardère Travel Retail,travel,3023.4,2025-10-13,2025-11-08,PO-99732,CC-305,jnovak,0,
INV-000224,O2 Czech Republic,telecom,11726.3,2025-07-28,2025-09-01,PO-66257,CC-273,jnovak,0,
INV-000225,KPMG Česká republika,consulting,67548.57,2025-07-14,2025-08-15,PO-64537,CC-145,msrnec,0,
INV-000226,Deloitte Advisory s.r.o.,consulting,95098.76,2025-08-07,2025-08-22,PO-59557,CC-116,msrnec,0,
INV-000227,T-Mobile Czech Republic,telecom,9083.48,2025-07-10,2025-08-10,PO-76384,CC-360,ldvorak,0,
INV-000228,PwC Česká republika,consulting,38921.16,2025-02-10,2025-03-06,PO-90692,CC-311,tklimes,0,
INV-000229,Kinstellar s.r.o.,legal,69663.86,2025-12-15,2026-01-02,PO-87963,CC-299,tklimes,0,
INV-000230,JetBrains s.r.o.,software,11258.3,2025-04-08,2025-04-30,PO-80086,CC-336,msrnec,0,
INV-000231,Pražská plynárenská a.s.,utilities,19838.98,2025-08-19,2025-10-02,PO-10400,CC-200,jnovak,0,
INV-000232,Lagardère Travel Retail,travel,11267.47,2025-12-23,2026-01-25,PO-22012,CC-386,msrnec,0,
INV-000233,Deloitte Advisory s.r.o.,consulting,58250.44,2025-07-29,2025-09-09,PO-59419,CC-231,msrnec,0,
INV-000234,KPMG Česká republika,consulting,60823.45,2025-02-04,2025-03-12,,CC-299,msrnec,0,
INV-000235,Manpower Group s.r.o.,hr_services,162521.39,2025-06-07,2025-07-10,PO-55775,CC-354,jnovak,1,off_hours
